timestamp,open,high,low,close,volume
2024-04-19,151.5900,154.2500,145.2900,146.6400,71618197

2024-04-18,155.5100,156.9600,152.3200,155.0800,52669816

2024-04-17,163.9700,164.4500,153.8800,154.0200,75908969

2024-04-16,162.2800,164.8799,161.6700,163.4600,55302100

2024-04-15,164.4300,164.4400,158.7600,160.3200,61461150

2024-04-12,164.5300,165.7000,161.8250,163.2800,63519643

2024-04-11,167.5450,170.9499,166.5492,170.5000,48994531

2024-04-10,166.7100,169.7752,164.0000,167.1400,59599958

2024-04-09,170.2100,171.6000,167.2900,170.7800,42808628

2024-04-08,168.2000,171.6599,166.8200,169.9000,43732720

2024-04-05,168.1000,172.6900,165.5800,170.4200,65810538

2024-04-04,182.9200,183.0200,165.6500,165.8300,87098676

2024-04-03,177.5400,182.0500,176.7000,180.7700,49681014

2024-04-02,179.4700,180.1000,174.8300,178.7000,61256416

2024-04-01,180.1000,187.2400,179.9000,183.3400,73463638

2024-03-28,179.4700,183.4000,178.3000,180.4900,57628614

2024-03-27,179.9600,181.2300,175.4000,179.5900,55685645

2024-03-26,179.5400,182.5983,176.3300,177.8700,65322445

2024-03-25,172.9000,182.8000,172.0000,178.6300,71935313

2024-03-22,177.2100,180.7600,175.0500,179.6500,57899071

2024-03-21,185.9700,187.6900,177.6600,178.6800,75265596

2024-03-20,182.0300,182.6800,174.0000,179.7300,81773114

2024-03-19,183.1600,185.6127,177.3602,181.4200,83509459

2024-03-18,193.2850,193.5000,188.0500,190.6500,59306865

2024-03-15,184.8300,193.7999,184.4800,191.0600,95289509

2024-03-14,192.9200,196.9300,184.0300,187.0600,83079474

2024-03-13,198.7300,198.8300,192.7001,194.7900,68877581

2024-03-12,200.5200,202.8499,194.2700,202.7600,67922120

2024-03-11,203.0100,203.5500,196.7000,198.3900,72435560

2024-03-08,213.4100,227.3000,205.6000,207.3900,120815222

2024-03-07,212.5200,213.8300,208.2200,211.3800,63869038

2024-03-06,210.4300,214.8109,207.3200,210.6300,86686987

2024-03-05,200.5000,205.3300,199.1500,205.1300,65407112

2024-03-04,205.1600,211.0100,203.5000,205.3600,86835338

2024-03-01,197.9100,202.7200,195.4200,202.6400,103820773

2024-02-29,179.8200,193.0000,179.8200,192.5300,105538483

2024-02-28,176.2500,176.8400,173.5900,176.5400,35914414

2024-02-27,175.9200,178.4600,172.4900,178.0000,43665241

2024-02-26,178.7800,179.8400,174.8100,176.0100,45435093

2024-02-23,181.8600,183.8000,174.5500,176.5200,69207367

2024-02-22,173.2000,183.8300,172.0000,181.8600,100684733

2024-02-21,162.7400,164.9000,161.8100,164.2900,48774556

2024-02-20,171.1400,171.8100,162.0000,165.6900,66549992

